model,params,train_time_s,val_dice_mean_excl_bg,val_voxel_acc,status
BasicUNet_(light),5660228,5.312502384185791,0.07337570438782375,0.13703791300455728,ok
UNet_InstanceNorm_(32-64-128-256),4748837,3.193898916244507,0.06942709845801194,0.6682281494140625,ok
UNet_Deep_(16-32-64-128-256),4813569,2.861224412918091,0.05721771810203791,0.48954010009765625,ok
UNet_Base_(32-64-128-256),4751149,5.513689994812012,0.04413277950758735,0.37107594807942706,ok
UNet_NoRes_(32-64-128-256),1947466,1.5799980163574219,0.042586235950390496,0.4336395263671875,ok
UNet_Light_(16-32-64-128),604329,2.742072820663452,0.03998633986338973,0.5202306111653646,ok
