name,params_m,trained,epochs,train_patches,val_patches,device,mean_dice_all,mean_dice_tumor,dice_class_0,dice_class_1,dice_class_2,dice_class_3,sec_per_val_patch
unet_base_pretrained,22.580964,False,0,6,2,cpu,0.9930564761161804,0.9911052783330282,0.9989100694656372,1.0,0.9733158349990845,1.0,0.6412125499991816
cnn_baseline,0.02266,True,1,6,2,cpu,0.8725233525037766,0.8333333333333334,0.9900934100151062,1.0,0.5,1.0,0.20505570000386797
all_background,0.0,True,1,6,2,cpu,0.8725233525037766,0.8333333333333334,0.9900934100151062,1.0,0.5,1.0,0.11139944999740692
unet_tiny,1.41318,True,1,6,2,cpu,0.375,0.5,0.0,1.0,0.5,0.0,0.24480880000191974
unet_base,22.580964,True,1,6,2,cpu,0.5241243243217468,0.3716488281885783,0.9815508127212524,0.5,0.6149464845657349,0.0,0.5924520999978995
unet_attention,22.669696,True,1,6,2,cpu,0.32766465842723846,0.10847347974777222,0.9852381944656372,0.0,0.32542043924331665,0.0,0.6399862999969628
unet_lite,5.647732,True,1,6,2,cpu,0.024776578415185213,0.008825392151872316,0.0726301372051239,0.0,0.02647617645561695,0.0,0.3396973999988404
