name,params_m,trained,epochs,train_patches,val_patches,device,mean_dice_all,mean_dice_tumor,dice_class_0,dice_class_1,dice_class_2,dice_class_3,sec_per_val_patch
unet_base_pretrained,22.580964,False,0,6,2,cpu,0.972781777381897,0.946631669998169,0.998931884765625,nan,0.946631669998169,nan,0.7114341499982402
unet_attention,22.669696,True,1,6,2,cpu,0.3796755075454712,0.17782898743947348,0.9852150678634644,0.0,0.5334869623184204,0.0,0.7542617500002962
unet_base,22.580964,True,1,6,2,cpu,0.3028368875384331,0.07663099964459737,0.9814545512199402,0.0,0.22989299893379211,0.0,0.6856793499973719
unet_lite,5.647732,True,1,6,2,cpu,0.02473384002223611,0.008830058698852858,0.07244518399238586,0.0,0.02649017609655857,0.0,0.33920485000271583
cnn_baseline,0.02266,True,1,6,2,cpu,0.49509528279304504,0.0,0.9901905655860901,nan,0.0,nan,0.19790165000449633
all_background,0.0,True,1,6,2,cpu,0.49509528279304504,0.0,0.9901905655860901,nan,0.0,nan,0.1092274999973597
unet_tiny,1.41318,True,1,6,2,cpu,0.0,0.0,0.0,nan,0.0,0.0,0.25885885000025155
